file_path,width,height,type,sex
stimuli/visual/nonsocial/geometrical_shapes/KI.7.2.png,800,800,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.7.3.png,800,800,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.5.1.png,640,640,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.10.1.png,640,640,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.12.3.png,640,640,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.9.1.png,640,640,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.14.4.png,640,660,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.12.2.png,640,640,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.10.2.png,640,640,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.9.2.png,640,640,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.9.3.png,640,640,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.12.1.png,640,640,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.10.3.png,640,640,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.14.3.png,640,660,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.14.2.png,640,640,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.12.4.png,640,640,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.10.4.png,640,640,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.9.4.png,640,640,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.14.1.png,640,640,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.8.2.png,640,640,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.11.2.png,640,640,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.11.3.png,640,640,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.13.1.png,640,640,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.8.3.png,640,640,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.8.1.png,640,640,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.13.3.png,640,660,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.11.1.png,640,640,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.13.2.png,640,640,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.8.4.png,640,640,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.11.4.png,640,640,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.13.4.png,640,660,geometric,geometric
stimuli/visual/nonsocial/manmade_objects/watch-4263351_640.png,640,212,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/samsung-older-phone-4776913_640.jpg,482,593,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/hat-2-1625676_640.png,551,265,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/gift-box-3011438_1280.png,686,749,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/shoe-sneakers-2-5621805_640.png,524,224,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/spoon-free-2287295_640.png,640,407,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/shoe-sneakers-2768263_640.png,567,350,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/stapler-1758617_1280.png,832,383,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/basketball-2844925_1920.png,908,894,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/couch-1-2656571_1280.png,850,388,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/fork-2287289_640.png,640,310,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/hat-cap-2525910_640.png,586,469,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/razor-1852087_640.png,622,640,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/lamp-hanging-2950301_640.png,555,640,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/toy-concrete-mixer-49931904078_c500b146ea_c.jpg,799,533,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/cradle-960646_640.png,545,425,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/book-3603964_640.png,640,251,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/cardboard-box-2679772_1920.png,609,511,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/samsung-phone-4766994_640.jpg,476,595,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/book-2-5626704_640.png,640,213,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/glass-2-3251029_640.png,294,555,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/shampoo-1860642_640.png,192,532,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/clock-2-3884312_640.png,415,416,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/couch-3-1498680_640.png,562,575,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/soap-2814182_640.png,514,385,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/chair-leisure-3293296_640.png,328,563,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/parasol-3335983_640.png,640,502,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/speakers-971975_640.png,268,559,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/couch-2-2647683_640.png,565,275,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/shampoo-2-1860617_1280.png,916,1280,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/scissors-2-2783765_640.png,614,253,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/glass-empty-3540133_640.png,305,465,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/toy-car-2801291_640.png,516,310,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/chair-2828465_640.png,442,640,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/towel-3349320_640.png,577,332,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/leather-case-2751381_1280.png,738,607,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/wrist-watch-2745278_640.png,581,303,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/mug-steel-3251017_640.png,396,324,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/glass-mug-3235980_640.png,514,413,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/gold-ring-with-eye-3383370_640.png,362,410,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/umbrella-249346_640.png,344,343,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/mobile-5365208_640.png,191,371,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/jug-944894_640.png,598,394,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/brush-4144493_1920.png,1735,706,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/scissors-1379278_640.png,549,343,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/computer-portable-1155173_640.png,640,472,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/shoe-winter-boots-2788671_640.png,640,463,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/lamp-bulb-2604119_1280.png,747,1280,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/hat-2268994_640.png,500,345,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/watering-can-2610032_640.png,583,455,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/soccer-ball-2844880_1920.png,911,909,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/Claw-hammer.jpg,4240,1920,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/clock-2634551_640.png,406,404,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/bed-furniture-1904882_640.png,497,494,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/bottle-2447542.png,710,1718,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/knife-kitchen-3561612_640.png,424,530,manmade,manmade
stimuli/visual/nonsocial/natural_objects/insect-butterfly-2-1852116_640.png,565,387,natural,natural
stimuli/visual/nonsocial/natural_objects/rock-2491928_1280.png,733,521,natural,natural
stimuli/visual/nonsocial/natural_objects/twig-leaves-1008521_640.png,527,640,natural,natural
stimuli/visual/nonsocial/natural_objects/vegetable-carrots-1083235_640.png,640,373,natural,natural
stimuli/visual/nonsocial/natural_objects/tree-orange-2-2559508_1280.png,927,1227,natural,natural
stimuli/visual/nonsocial/natural_objects/plant-2518840_1920.png,928,1741,natural,natural
stimuli/visual/nonsocial/natural_objects/coral-2440368_640.png,501,414,natural,natural
stimuli/visual/nonsocial/natural_objects/mushroom-champion-2530764_1280.png,636,645,natural,natural
stimuli/visual/nonsocial/natural_objects/leaf-1415507_640.png,458,640,natural,natural
stimuli/visual/nonsocial/natural_objects/crystal-3420524_1920.png,809,727,natural,natural
stimuli/visual/nonsocial/natural_objects/fruit-blueberry-539135_640.png,379,324,natural,natural
stimuli/visual/nonsocial/natural_objects/flower-1-2889523_640.png,640,531,natural,natural
stimuli/visual/nonsocial/natural_objects/nut-walnut-2876138.png,1327,1155,natural,natural
stimuli/visual/nonsocial/natural_objects/pine-cone-3680270_1280.png,828,1157,natural,natural
stimuli/visual/nonsocial/natural_objects/fruit-pumpkin-3223261_640.png,300,335,natural,natural
